sic_codes,type,registered_office_address,last_full_members_list_date,accounts,company_name,jurisdiction,company_number,has_been_liquidated,date_of_creation,undeliverable_registered_office_address,status,has_insolvency_history,etag,has_charges,company_status,previous_company_names,confirmation_statement,links,registered_office_is_in_dispute,has_super_secure_pscs,can_file,date_of_cessation,annual_return,company_status_detail
['11020'],ltd,"{'country': 'England', 'address_line_1': 'The Vine House Loddon Road', 'address_line_2': 'Bergh Apton', 'region': 'Norfolk', 'postal_code': 'NR15 1BT', 'locality': 'Norwich'}",2016-06-12,"{'next_accounts': {'period_end_on': '2023-06-30', 'period_start_on': '2022-07-01', 'overdue': False, 'due_on': '2024-03-31'}, 'last_accounts': {'period_start_on': '2021-07-01', 'type': 'micro-entity', 'period_end_on': '2022-06-30', 'made_up_to': '2022-06-30'}, 'overdue': False, 'accounting_reference_date': {'month': '06', 'day': '30'}, 'next_due': '2024-03-31', 'next_made_up_to': '2023-06-30'}",CHET VALLEY VINEYARD LTD.,england-wales,08567296,False,2013-06-12,False,active,False,fd8ee75ce13d2cb9034aa4fec10306d8e9a1c4e7,True,active,"[{'effective_from': '2015-07-10', 'ceased_on': '2021-05-18', 'name': 'CHET & WAVENEY VALLEY VINEYARD LTD.'}, {'effective_from': '2013-06-12', 'ceased_on': '2015-07-10', 'name': 'ANTEROS ART MATERIALS LIMITED'}]","{'next_made_up_to': '2024-05-25', 'last_made_up_to': '2023-05-25', 'next_due': '2024-06-08', 'overdue': False}","{'self': '/company/08567296', 'filing_history': '/company/08567296/filing-history', 'officers': '/company/08567296/officers', 'persons_with_significant_control': '/company/08567296/persons-with-significant-control', 'charges': '/company/08567296/charges'}",False,False,True,,,
"['11020', '11030']",ltd,"{'locality': 'Winchester', 'postal_code': 'SO23 9SR', 'address_line_1': '9 Christchurch Road'}",2016-06-20,"{'last_accounts': {'period_start_on': '2021-07-01', 'made_up_to': '2022-06-30', 'type': 'micro-entity', 'period_end_on': '2022-06-30'}, 'next_due': '2024-03-31', 'next_accounts': {'period_start_on': '2022-07-01', 'due_on': '2024-03-31', 'overdue': False, 'period_end_on': '2023-06-30'}, 'accounting_reference_date': {'month': '06', 'day': '30'}, 'next_made_up_to': '2023-06-30', 'overdue': False}",HAMPSHIRE DOWNS FINE CIDER COMPANY LTD,england-wales,08577353,False,2013-06-20,False,active,False,4df2727465d94f886aabbeba846ea0ddbc7e3691,False,active,,"{'next_due': '2024-06-24', 'next_made_up_to': '2024-06-10', 'overdue': False, 'last_made_up_to': '2023-06-10'}","{'self': '/company/08577353', 'filing_history': '/company/08577353/filing-history', 'officers': '/company/08577353/officers', 'persons_with_significant_control': '/company/08577353/persons-with-significant-control'}",False,False,True,,,
"['11020', '46342', '47290']",ltd,"{'postal_code': 'PE2 8GF', 'address_line_1': '7 Venus Way', 'locality': 'Peterborough', 'country': 'England'}",2015-11-03,"{'accounting_reference_date': {'day': '30', 'month': '11'}, 'last_accounts': {'made_up_to': '2017-11-30', 'period_end_on': '2017-11-30'}}",GUINEXPORT TRADE AND SERVICES LIMITED,england-wales,09292023,False,2014-11-03,False,,False,e23486cc4d327eb93c3c89dfaaa668bd9c8b6fa9,False,dissolved,,,"{'self': '/company/09292023', 'filing_history': '/company/09292023/filing-history', 'officers': '/company/09292023/officers', 'persons_with_significant_control': '/company/09292023/persons-with-significant-control'}",False,,False,2020-01-21,,
['11020'],ltd,"{'address_line_1': 'Broom House 39/43 London Road', 'address_line_2': 'Hadleigh', 'postal_code': 'SS7 2QL', 'country': 'England', 'locality': 'Benfleet', 'region': 'Essex'}",2015-09-05,"{'accounting_reference_date': {'month': '03', 'day': '31'}, 'last_accounts': {'made_up_to': '2017-03-31', 'period_end_on': '2017-03-31'}}",CARLO GARN WINE STORAGE LIMITED,england-wales,08677441,False,2013-09-05,False,,False,736f262688c2559f9c362ac9b3310f66d9f2b14c,False,dissolved,,,"{'self': '/company/08677441', 'filing_history': '/company/08677441/filing-history', 'officers': '/company/08677441/officers', 'persons_with_significant_control': '/company/08677441/persons-with-significant-control'}",False,,False,2019-02-12,,
['11020'],ltd,"{'locality': 'Heathfield', 'postal_code': 'TN21 8LS', 'region': 'East Sussex', 'address_line_1': '8 High Street'}",2015-10-03,"{'next_accounts': {'due_on': '2024-07-31', 'overdue': False, 'period_start_on': '2022-11-01', 'period_end_on': '2023-10-31'}, 'next_due': '2024-07-31', 'last_accounts': {'period_end_on': '2022-10-31', 'made_up_to': '2022-10-31', 'period_start_on': '2021-11-01', 'type': 'total-exemption-full'}, 'overdue': False, 'accounting_reference_date': {'month': '10', 'day': '31'}, 'next_made_up_to': '2023-10-31'}",BREAKY BOTTOM LTD,england-wales,08717583,False,2013-10-03,False,active,False,facc029a83575a5d68a381c91972029601f91912,False,active,,"{'overdue': False, 'last_made_up_to': '2023-10-03', 'next_made_up_to': '2024-10-03', 'next_due': '2024-10-17'}","{'self': '/company/08717583', 'filing_history': '/company/08717583/filing-history', 'officers': '/company/08717583/officers', 'persons_with_significant_control': '/company/08717583/persons-with-significant-control'}",False,False,True,,,
['11020'],ltd,"{'locality': 'Tunbridge Wells', 'address_line_2': 'Waight Sharnock', 'postal_code': 'TN1 1NU', 'country': 'England', 'address_line_1': '8b Lonsdale Gardens'}",2016-03-07,"{'next_made_up_to': '2024-03-31', 'last_accounts': {'made_up_to': '2023-03-31', 'period_start_on': '2022-04-01', 'period_end_on': '2023-03-31', 'type': 'micro-entity'}, 'overdue': False, 'next_due': '2024-12-31', 'next_accounts': {'overdue': False, 'period_start_on': '2023-04-01', 'period_end_on': '2024-03-31', 'due_on': '2024-12-31'}, 'accounting_reference_date': {'month': '03', 'day': '31'}}",MAYFIELD VINEYARDS LTD,england-wales,08928813,False,2014-03-07,False,active,False,8cda90b2ab4a17716a7e070ec3a044bcdd22602f,False,active,,"{'overdue': False, 'next_due': '2024-03-21', 'next_made_up_to': '2024-03-07', 'last_made_up_to': '2023-03-07'}","{'self': '/company/08928813', 'filing_history': '/company/08928813/filing-history', 'officers': '/company/08928813/officers', 'persons_with_significant_control': '/company/08928813/persons-with-significant-control'}",False,False,True,,,
['11020'],ltd,"{'address_line_2': 'East Mersea', 'address_line_1': 'Rewsalls Lane', 'postal_code': 'CO5 8SX', 'locality': 'Colchester'}",2012-08-20,"{'accounting_reference_date': {'day': '31', 'month': '08'}, 'last_accounts': {'made_up_to': '2011-08-31', 'type': 'total-exemption-small'}}",MERSEA VINEYARD LIMITED,england-wales,03421247,,1997-08-18,False,,True,9dc8a2b29bc095a43a5eb2f774b6a749736c3916,False,dissolved,,,"{'self': '/company/03421247', 'filing_history': '/company/03421247/filing-history', 'officers': '/company/03421247/officers', 'insolvency': '/company/03421247/insolvency'}",,,False,2015-03-12,{'last_made_up_to': '2012-08-20'},
['11020'],ltd,"{'locality': 'Beaworthy', 'address_line_1': 'Beara Farm', 'region': 'Devon', 'address_line_2': 'Sheepwash', 'postal_code': 'EX21 5PB'}",2016-01-22,"{'next_made_up_to': '2024-03-31', 'overdue': False, 'last_accounts': {'type': 'micro-entity', 'period_start_on': '2022-04-01', 'made_up_to': '2023-03-31', 'period_end_on': '2023-03-31'}, 'next_due': '2024-12-31', 'accounting_reference_date': {'day': '31', 'month': '03'}, 'next_accounts': {'period_start_on': '2023-04-01', 'overdue': False, 'due_on': '2024-12-31', 'period_end_on': '2024-03-31'}}",TORVIEW WINES LIMITED,england-wales,06798834,False,2009-01-22,False,active,False,d998266b8308fac0280da80928a229dbbacb9781,False,active,,"{'overdue': False, 'last_made_up_to': '2023-01-22', 'next_made_up_to': '2024-01-22', 'next_due': '2024-02-05'}","{'self': '/company/06798834', 'filing_history': '/company/06798834/filing-history', 'officers': '/company/06798834/officers', 'persons_with_significant_control': '/company/06798834/persons-with-significant-control'}",False,False,True,,,
"['11020', '46342', '70100']",ltd,"{'address_line_1': '1 Doughty Street', 'postal_code': 'WC1N 2PH', 'locality': 'London'}",2016-01-28,"{'last_accounts': {'period_start_on': '2022-02-01', 'period_end_on': '2023-01-31', 'made_up_to': '2023-01-31', 'type': 'total-exemption-full'}, 'overdue': False, 'next_made_up_to': '2024-01-31', 'accounting_reference_date': {'day': '31', 'month': '01'}, 'next_due': '2024-10-31', 'next_accounts': {'overdue': False, 'due_on': '2024-10-31', 'period_start_on': '2023-02-01', 'period_end_on': '2024-01-31'}}",GENERAL BILIMORIA WINES LIMITED,england-wales,06804374,False,2009-01-28,False,active,False,c1320f894dbeca8324dec5f20882e25ec731fd96,False,active,"[{'name': 'COBRA INDIA NEWCO LIMITED', 'effective_from': '2009-05-15', 'ceased_on': '2009-05-21'}, {'ceased_on': '2009-05-15', 'effective_from': '2009-01-28', 'name': 'SPSHELFCO (NO.15) LIMITED'}]","{'last_made_up_to': '2023-01-28', 'next_made_up_to': '2024-01-28', 'overdue': False, 'next_due': '2024-02-11'}","{'self': '/company/06804374', 'filing_history': '/company/06804374/filing-history', 'officers': '/company/06804374/officers', 'persons_with_significant_control': '/company/06804374/persons-with-significant-control'}",False,False,True,,,
['11020'],ltd,"{'locality': 'Pulborough', 'address_line_2': 'Nutbourne', 'region': 'West Sussex', 'postal_code': 'RH20 2HE', 'address_line_1': 'Nutbourne Manor The Street'}",2016-06-27,"{'next_made_up_to': '2024-01-31', 'next_accounts': {'overdue': False, 'period_start_on': '2023-02-01', 'due_on': '2024-10-31', 'period_end_on': '2024-01-31'}, 'last_accounts': {'period_start_on': '2022-02-01', 'made_up_to': '2023-01-31', 'type': 'total-exemption-full', 'period_end_on': '2023-01-31'}, 'accounting_reference_date': {'month': '01', 'day': '31'}, 'next_due': '2024-10-31', 'overdue': False}",NUTBOURNE VINEYARDS LIMITED,england-wales,05492268,False,2005-06-27,False,,False,72bae82efcebef2e1e4a8e7405ff7195661bfead,False,active,,"{'last_made_up_to': '2023-06-27', 'next_made_up_to': '2024-06-27', 'overdue': False, 'next_due': '2024-07-11'}","{'self': '/company/05492268', 'filing_history': '/company/05492268/filing-history', 'officers': '/company/05492268/officers', 'persons_with_significant_control': '/company/05492268/persons-with-significant-control'}",False,False,True,,,
